algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
8,0.0,0.03624478368153511,0.0,0.0,0.0
8,4.0,0.07329344942554207,0.21,0.24,0.24
8,4.0,0.1368079732748507,0.21,0.24,0.24
8,12.02,0.23578075308490412,0.28,0.32,0.32
8,27.72,0.3733800876443908,0.37,0.39,0.39
8,58.91,0.544659502606094,0.45,0.47,0.47
8,121.29,0.7400322032504546,0.48,0.5,0.5
8,243.76,0.9502789826513065,0.5,0.52,0.52
8,485.55,1.0,0.54,0.54,0.54
