dataset,alc
adult,0.74
albert,0.26
alexis,0.0
arturo,0.53
cadata,0.7
carlo,0.02
christine,0.42
digits,0.83
dilbert,0.75
dionis,0.4
dorothea,0.67
evita,0.53
fabert,0.16
flora,0.26
grigoris,0.0
helena,0.09
jannis,0.29
jasmine,0.59
madeline,0.67
marco,0.0
newsgroups,0.15
pablo,0.26
philippine,0.52
robert,0.19
sylvine,0.84
tania,0.0
volkert,0.06
waldo,0.43
wallis,0.32
yolanda,0.14
AVERAGE,0.36
