dataset,alc
adult,0.78
albert,0.29
alexis,0.11
arturo,0.67
cadata,0.54
carlo,0.03
christine,0.43
digits,0.84
dilbert,0.75
dionis,0.4
dorothea,0.67
evita,0.53
fabert,0.16
flora,0.22
grigoris,0.0
helena,0.11
jannis,0.33
jasmine,0.61
madeline,0.64
marco,0.23
newsgroups,0.05
pablo,0.23
philippine,0.5
robert,0.06
sylvine,0.86
tania,0.02
volkert,0.13
waldo,0.49
wallis,0.4
yolanda,0.2
AVERAGE,0.38
