algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
15,0.0,0.03624478368153511,0.0,0.0,0.0
15,0.0,0.07329344942554207,0.0,0.0,0.0
15,7.41,0.1368079732748507,0.07,0.07,0.07
15,18.6,0.23578075308490412,0.14,0.13,0.13
15,37.07,0.3733800876443908,0.23,0.23,0.23
15,71.36,0.544659502606094,0.36,0.36,0.36
15,136.5,0.7400322032504546,0.46,0.46,0.46
15,259.4,0.9502789826513065,0.5,0.49,0.49
15,498.7,1.0,0.51,0.5,0.5
