algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.01127251182759201,0.0,0.0,0.0
0,0.0,0.033273498438922335,0.0,0.0,0.0
7,2.33,0.07525422327327858,0.76,0.76,0.76
7,4.57,0.15217752866182604,0.76,0.76,0.76
7,9.02,0.28405129568024756,0.76,0.76,0.76
7,17.89,0.4895462362831692,0.76,0.76,0.76
7,35.83,0.7752406174713091,0.76,0.76,0.76
7,71.64,1.0,0.76,0.76,0.76
