algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.009225179068444849,0.0,0.0,0.0
0,0.0,0.027230309094139937,0.0,0.0,0.0
7,1.9,0.061586423325228325,0.78,0.78,0.78
7,4.29,0.124538787234844,0.75,0.75,0.78
7,8.44,0.2324614165283004,0.79,0.78,0.78
7,17.07,0.40063401671854104,0.79,0.8,0.8
7,34.13,0.634440098771873,0.81,0.8,0.8
7,65.98,0.9254747107980671,0.81,0.81,0.81
7,131.8,1.0,0.81,0.81,0.81
