algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
9,2.21,0.03624478368153511,0.54,0.54,0.54
9,4.54,0.07329344942554207,0.61,0.6,0.6
9,9.41,0.1368079732748507,0.66,0.66,0.66
9,18.26,0.23578075308490412,0.71,0.7,0.7
9,36.9,0.3733800876443908,0.73,0.72,0.72
9,73.44,0.544659502606094,0.72,0.72,0.72
9,147.29,0.7400322032504546,0.73,0.72,0.72
9,296.47,0.9502789826513065,0.74,0.72,0.72
9,595.36,1.0,0.73,0.72,0.72
