algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.81,0.016025555786645954,0.37,0.37,0.37
0,1.73,0.03624478368153511,0.45,0.46,0.46
0,3.58,0.07329344942554207,0.49,0.51,0.51
0,7.41,0.1368079732748507,0.5,0.52,0.52
0,14.91,0.23578075308490412,0.52,0.53,0.53
0,29.77,0.3733800876443908,0.54,0.53,0.53
0,59.19,0.544659502606094,0.53,0.53,0.53
0,118.44,0.7400322032504546,0.54,0.54,0.54
0,236.16,0.9502789826513065,0.54,0.54,0.54
0,473.08,1.0,0.54,0.54,0.54
