algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.010770103848375623,0.0,0.0,0.0
10,0.0,0.021198241253833752,0.0,0.0,0.0
0,1.64,0.04111092807304064,0.22,0.26,0.26
0,3.68,0.077643959898352,0.28,0.3,0.3
0,7.55,0.14039772199759704,0.36,0.37,0.37
0,15.35,0.23844035254532855,0.44,0.43,0.43
0,30.92,0.3751318717367921,0.47,0.45,0.45
0,63.52,0.5457005771345672,0.47,0.48,0.48
0,128.06,0.7406069343485431,0.5,0.48,0.48
0,255.01,0.950582128716898,0.52,0.48,0.48
0,510.04,1.0,0.51,0.47,0.48
