algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
2,0.0,0.03624478368153511,0.0,0.0,0.0
2,0.0,0.07329344942554207,0.0,0.0,0.0
2,0.0,0.1368079732748507,0.0,0.0,0.0
2,9.38,0.23578075308490412,0.09,0.09,0.09
2,37.14,0.3733800876443908,0.1,0.1,0.1
2,89.18,0.544659502606094,0.15,0.15,0.15
2,142.95,0.7400322032504546,0.16,0.17,0.17
2,238.29,0.9502789826513065,0.17,0.18,0.18
2,418.13,1.0,0.18,0.18,0.18
