algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
2,2.39,0.03624478368153511,0.65,0.62,0.62
2,4.78,0.07329344942554207,0.65,0.62,0.62
2,10.01,0.1368079732748507,0.66,0.62,0.62
2,19.57,0.23578075308490412,0.65,0.62,0.62
2,39.86,0.3733800876443908,0.66,0.63,0.63
2,80.49,0.544659502606094,0.67,0.63,0.63
2,161.53,0.7400322032504546,0.67,0.63,0.63
2,327.58,0.9502789826513065,0.66,0.63,0.63
2,661.69,1.0,0.67,0.63,0.63
