algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
13,2.32,0.03624478368153511,0.03,0.03,0.03
13,4.91,0.07329344942554207,0.06,0.06,0.06
13,9.73,0.1368079732748507,0.09,0.09,0.09
13,19.05,0.23578075308490412,0.15,0.15,0.15
13,37.37,0.3733800876443908,0.2,0.2,0.2
13,73.39,0.544659502606094,0.25,0.25,0.25
13,144.31,0.7400322032504546,0.28,0.28,0.28
13,284.61,0.9502789826513065,0.3,0.3,0.3
13,562.98,1.0,0.31,0.31,0.31
