algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.010770103848375623,0.0,0.0,0.0
10,0.0,0.021198241253833752,0.0,0.0,0.0
0,1.62,0.04111092807304064,0.26,0.27,0.27
0,4.9,0.077643959898352,0.42,0.44,0.44
0,10.97,0.14039772199759704,0.58,0.61,0.61
0,23.12,0.23844035254532855,0.75,0.76,0.76
0,47.55,0.3751318717367921,0.83,0.85,0.85
0,95.81,0.5457005771345672,0.88,0.88,0.88
0,193.27,0.7406069343485431,0.89,0.9,0.9
0,389.49,0.950582128716898,0.9,0.91,0.91
0,782.5,1.0,0.9,0.91,0.91
