algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.43,0.016025555786645954,0.22,0.22,0.22
0,1.24,0.03624478368153511,0.18,0.17,0.22
0,5.1,0.07329344942554207,0.29,0.29,0.29
0,9.65,0.1368079732748507,0.32,0.32,0.32
0,18.35,0.23578075308490412,0.34,0.33,0.33
0,35.19,0.3733800876443908,0.34,0.34,0.34
0,68.33,0.544659502606094,0.35,0.35,0.35
0,134.24,0.7400322032504546,0.35,0.35,0.35
0,265.74,0.9502789826513065,0.36,0.35,0.35
0,530.93,1.0,0.36,0.35,0.35
