algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.73,0.016025555786645954,0.63,0.62,0.62
0,1.41,0.03624478368153511,0.63,0.62,0.62
0,5.29,0.07329344942554207,0.66,0.62,0.62
0,10.56,0.1368079732748507,0.65,0.62,0.62
0,20.56,0.23578075308490412,0.65,0.62,0.62
0,41.51,0.3733800876443908,0.66,0.62,0.62
0,83.36,0.544659502606094,0.66,0.63,0.63
0,168.42,0.7400322032504546,0.66,0.63,0.63
0,340.85,0.9502789826513065,0.66,0.63,0.63
0,692.21,1.0,0.66,0.63,0.63
