algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.0168523745600529,0.0,0.0,0.0
0,0.0,0.04974378977749427,0.0,0.0,0.0
13,2.52,0.11250485936265825,0.84,0.76,0.76
13,5.33,0.22750499195351995,0.84,0.76,0.76
13,12.33,0.4246559154060729,0.84,0.76,0.76
13,20.64,0.7318702933728004,0.84,0.76,0.76
13,36.84,1.0,0.84,0.76,0.76
