algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
13,1.46,0.03624478368153511,0.02,0.02,0.02
13,4.2,0.07329344942554207,0.04,0.04,0.04
13,9.46,0.1368079732748507,0.07,0.07,0.07
13,19.77,0.23578075308490412,0.11,0.1,0.1
13,40.13,0.3733800876443908,0.14,0.14,0.14
13,80.44,0.544659502606094,0.2,0.2,0.2
13,160.69,0.7400322032504546,0.25,0.26,0.26
13,320.73,0.9502789826513065,0.29,0.29,0.29
13,640.28,1.0,0.3,0.3,0.3
