algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
7,0.0,0.03624478368153511,0.0,0.0,0.0
7,0.0,0.07329344942554207,0.0,0.0,0.0
7,0.0,0.1368079732748507,0.0,0.0,0.0
7,14.97,0.23578075308490412,0.31,0.32,0.32
7,45.21,0.3733800876443908,0.38,0.38,0.38
7,104.62,0.544659502606094,0.44,0.44,0.44
7,218.41,0.7400322032504546,0.46,0.48,0.48
7,451.61,0.9502789826513065,0.49,0.51,0.51
7,917.81,1.0,0.5,0.52,0.52
