algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
7,0.0,0.03624478368153511,0.0,0.0,0.0
7,3.98,0.07329344942554207,0.36,0.36,0.36
7,11.72,0.1368079732748507,0.39,0.38,0.38
7,27.01,0.23578075308490412,0.41,0.42,0.42
7,58.09,0.3733800876443908,0.46,0.48,0.48
7,120.12,0.544659502606094,0.49,0.49,0.49
7,245.18,0.7400322032504546,0.53,0.51,0.51
7,496.58,0.9502789826513065,0.54,0.52,0.52
7,998.62,1.0,0.55,0.53,0.53
