algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
7,0.0,0.03624478368153511,0.0,0.0,0.0
7,0.0,0.07329344942554207,0.0,0.0,0.0
7,4.7,0.1368079732748507,0.05,0.04,0.04
7,13.26,0.23578075308490412,0.06,0.04,0.04
7,30.33,0.3733800876443908,0.06,0.06,0.06
7,63.25,0.544659502606094,0.07,0.06,0.06
7,128.03,0.7400322032504546,0.11,0.1,0.1
7,258.07,0.9502789826513065,0.14,0.14,0.14
7,519.54,1.0,0.16,0.16,0.16
